指令,jmp,blank,G,alu_ena,alu_op,write,read,
取指,'00,'0000,'0,'000,'000000,'0100,'0011,
取指,'00,'0000,'0,'000,'000000,'0111,'0011,
取指,'00,'0000,'0,'000,'000000,'0110,'1111,
取指,'01,'0000,'0,'001,'000000,'0011,'1011,
取指,'00,'0000,'0,'000,'000000,'0100,'0011,
取指,'00,'0000,'0,'000,'000000,'0111,'0011,
取指,'00,'0000,'0,'000,'000000,'1010,'1111,
取指,'10,'0000,'0,'001,'000000,'0011,'1011,
SLLV,'00,'0000,'0,'000,'000000,'0111,'0000,
SLLV,'00,'0000,'0,'000,'000000,'1000,'0001,
SLLV,'11,'0000,'0,'010,'000001,'0000,'1011,
SLLV.i,'11,'0000,'0,'010,'000001,'0000,'1011,
SRLV,'00,'0000,'0,'000,'000000,'0111,'0000,
SRLV,'00,'0000,'0,'000,'000000,'1000,'0001,
SRLV,'11,'0000,'0,'010,'000010,'0000,'1011,
SRLV.i,'11,'0000,'0,'010,'000010,'0000,'1011,
SLTU,'00,'0000,'0,'000,'000000,'1000,'0000,
SLTU,'00,'0000,'0,'000,'000000,'0111,'0001,
SLTU,'11,'0000,'0,'011,'000001,'0000,'1011,
SLTU.i,'11,'0000,'0,'011,'000001,'0000,'1011,
ADD,'00,'0000,'0,'000,'000000,'1000,'0010,
ADD,'00,'0000,'0,'000,'000000,'0111,'0001,
ADD,'11,'0000,'0,'001,'110010,'0000,'1011,
ADD.i,'11,'0000,'0,'001,'110010,'0000,'1011,
SUB,'00,'0000,'0,'000,'000000,'1000,'0010,
SUB,'00,'0000,'0,'000,'000000,'0111,'0001,
SUB,'11,'0000,'0,'001,'001100,'0000,'1011,
SUB.i,'11,'0000,'0,'001,'001100,'0000,'1011,
AND,'00,'0000,'0,'000,'000000,'1000,'0010,
AND,'00,'0000,'0,'000,'000000,'0111,'0001,
AND,'11,'0000,'0,'001,'010111,'0000,'1011,
AND.i,'11,'0000,'0,'001,'010111,'0000,'1011,
OR,'00,'0000,'0,'000,'000000,'1000,'0010,
OR,'00,'0000,'0,'000,'000000,'0111,'0001,
OR,'11,'0000,'0,'001,'011101,'0000,'1011,
OR.i,'11,'0000,'0,'001,'011101,'0000,'1011,
XOR,'00,'0000,'0,'000,'000000,'1000,'0010,
XOR,'00,'0000,'0,'000,'000000,'0111,'0001,
XOR,'11,'0000,'0,'001,'001101,'0000,'1011,
XOR.i,'11,'0000,'0,'001,'001101,'0000,'1011,
NXOR,'00,'0000,'0,'000,'000000,'1000,'0010,
NXOR,'00,'0000,'0,'000,'000000,'0111,'0001,
NXOR,'11,'0000,'0,'001,'010011,'0000,'1011,
NXOR.i,'11,'0000,'0,'001,'010011,'0000,'1011,
JNZ,'00,'0000,'0,'000,'000000,'1001,'0000,
JNZ,'00,'0000,'0,'000,'000000,'0111,'0011,
JNZ,'00,'0000,'0,'000,'000000,'1000,'0001,
JNZ,'11,'0000,'0,'110,'000001,'0011,'1011,
JNZR,'00,'0000,'0,'000,'000000,'1001,'0000,
JNZR,'00,'0000,'0,'000,'000000,'0111,'0011,
JNZR,'00,'0000,'0,'000,'000000,'1000,'0001,
JNZR,'00,'0000,'0,'001,'110010,'1000,'1011,
JNZR,'11,'0000,'0,'110,'000001,'0011,'1011,
JMP,'11,'0000,'0,'000,'000000,'0011,'0000,
JMPR,'00,'0000,'0,'000,'000000,'0111,'0011,
JMPR,'00,'0000,'0,'000,'000000,'1000,'0000,
JMPR,'11,'0000,'0,'001,'110010,'0011,'1011,
LD,'00,'0000,'0,'000,'000000,'0100,'0001,
LD,'00,'0000,'0,'000,'000000,'0000,'0000,
LD,'11,'0000,'0,'000,'000000,'0000,'1111,
STR,'00,'0000,'0,'000,'000000,'0100,'0001,
STR,'00,'0000,'0,'000,'000000,'1111,'0000,
STR,'11,'0000,'0,'000,'000000,'0000,'0000,
MUL,'00,'0000,'0,'000,'000000,'1000,'0010,
MUL,'00,'0000,'0,'000,'000000,'0111,'0001,
MUL,'00,'0000,'0,'101,'000010,'1001,'1100,
MUL,'11,'0000,'0,'101,'000010,'0000,'1011,
DIV,'00,'0000,'0,'000,'000000,'1000,'0010,
DIV,'00,'0000,'0,'000,'000000,'0111,'0001,
DIV,'00,'0000,'0,'100,'000010,'1001,'1100,
DIV,'11,'0000,'0,'100,'000010,'0000,'1011,
MOV,'11,'0000,'0,'000,'000000,'0000,'0001,
HALT,'00,'0000,'1,'000,'000000,'0000,'0000,
NOP,'11,'0000,'0,'000,'000000,'0000,'0000,
